case,family,root,phase,mechanics,replay_equal,cross_equal,checks_pass,failed,quiescent,ceiling,physical_work,updates,proposals,cell_proposals,arrow_deallocations,cell_deallocations,trace_len,final_tick,body_hash,live_hash,markers
38,no_modulation_no_selection,8100000,4,reference,true,false,true,,false,true,91,0,8,4,8,4,141,55,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,08b78f5d9330eb9f526dd05bef6db9cc6370bf026d166b078e3b265a7f39e5ba,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
38,no_modulation_no_selection,8100000,4,production,true,false,true,,false,true,91,0,8,4,8,4,141,55,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,372986001782846a4aff41801fd4314fe4ff3308651d46be0d004e2493a88227,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
39,candidate_identity_sign_order_permutation,8100000,4,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,18,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,1f3e23a586259f00f52e5ba2912ca354fd6479fe6c885be4f0f56089765bae95,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
39,candidate_identity_sign_order_permutation,8100000,4,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,18,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,a7d5f2442e2a3cb9e616f773ca73eddcea1d6ae69e139861de65e7c05682df41,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
40,inhibitory_location_permutation,8100000,4,reference,true,false,true,,true,false,46,2,12,6,2,1,59,18,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,20e36c73b79c83a1addad7adf60ba49648dba2b012ebe61369bbee88d761225a,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
40,inhibitory_location_permutation,8100000,4,production,true,false,true,,true,false,46,2,12,6,2,1,59,18,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,fcd9d6b8365e9958c465e5f7290f80cb9054a66b1fa5aae5f4209b09a7008430,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
41,irrelevant_negative_not_retained,8100000,4,reference,true,false,true,,true,false,72,2,20,10,6,3,89,18,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,d7c581279d70bf99d0ca7eda0717a83015f148b71be0f47ad06c06582887785a,useful_live=true;others_gone=true;fires=1/1
41,irrelevant_negative_not_retained,8100000,4,production,true,false,true,,true,false,72,2,20,10,6,3,89,18,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,b92b0596173be19955b3067faddfe9207a228f55b04c13c5a81662cf7181fdb4,useful_live=true;others_gone=true;fires=1/1
42,useful_positive_selection_control,8100000,4,reference,true,false,true,,true,false,21,2,4,2,2,1,27,16,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,981604def1d56e81ba583fb209ba128af90324078b6a5c5f0fc1c4e056ee17f0,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
42,useful_positive_selection_control,8100000,4,production,true,false,true,,true,false,21,2,4,2,2,1,27,16,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,b9eca08b11ecd79af52effc5a7541f5f3acfb0b36b91e60a08f213fd59cbd3df,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
43,learned_negative_disconnected,8100000,4,reference,true,false,true,,false,true,128,2,20,10,18,9,172,30,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,e8654220d1ba623f08c89887cb724fb0aad98faa0271ee413d22dc47e2b9bde7,disconnected=true;ceiling=true
43,learned_negative_disconnected,8100000,4,production,true,false,true,,false,true,128,2,20,10,18,9,172,30,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,f290069c7135a93fe00dff744f379c4ba8cd3dd9ed8d8811e41b18e106ef3df0,disconnected=true;ceiling=true
44,learned_negative_not_traversed,8100000,4,reference,true,false,true,,false,true,112,2,16,8,14,7,156,35,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,724fe60288519e6233e0066151ea608e20ed31a00ca69c3eed1f9c8c955729fa,contact_fires=0
44,learned_negative_not_traversed,8100000,4,production,true,false,true,,false,true,112,2,16,8,14,7,156,35,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,16276cd2e8d423c145dcc914a8c4822d20b5ef8b3fbc6cc3209c90f0985617c4,contact_fires=0
45,fresh_recurrence_packing,8100000,4,reference,true,false,true,,true,false,46,2,12,6,2,1,59,18,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,8e0c29b9bed3876c11b0547777d52931aa339444d8f38fafcbb853ce560b1ccc,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
45,fresh_recurrence_packing,8100000,4,production,true,false,true,,true,false,46,2,12,6,2,1,59,18,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,3158bc437e30ff31c0d6c0cbe8380331f410ac8da29711e9edcbc2f02607d6b5,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
46,learned_negative_stabilizes,8100000,5,reference,true,false,true,,true,false,46,2,12,6,2,1,59,19,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,8cf2bb5405b4c558e3a14cad1b5991c087d96f437e28b2a6d0ae865b07c21bc2,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
46,learned_negative_stabilizes,8100000,5,production,true,false,true,,true,false,46,2,12,6,2,1,59,19,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,ef5c1d7c56594756e0e3fd1bc0a5f3c6d42de86dec7c2422d6e4cb6bacee2d7b,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
47,no_modulation_no_selection,8100000,5,reference,true,false,true,,false,true,91,0,8,4,8,4,141,56,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,57ac0525b92c98c87c8ebf8265fa4e67472c231749b9dcedae9a28949f39d82a,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
47,no_modulation_no_selection,8100000,5,production,true,false,true,,false,true,91,0,8,4,8,4,141,56,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,1244947fc780afca2756c5c84c9b87c4920c9ed64c6770555b112d9a494ca9e9,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
48,candidate_identity_sign_order_permutation,8100000,5,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,19,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,9e5b99fecd7d72fdcb0f9e5693ce7750feb39dfc6f7f5d79af753b26f2ba071b,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
48,candidate_identity_sign_order_permutation,8100000,5,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,19,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,db41b5ae730687146de4f99b1c15bb18e88a5eeb7c95d16c80c58d681ecc1a37,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
49,inhibitory_location_permutation,8100000,5,reference,true,false,true,,true,false,46,2,12,6,2,1,59,19,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,b47970a32bc88cd4afc8ad9337afc473615923209d5b98e0b68713050dafd24f,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
49,inhibitory_location_permutation,8100000,5,production,true,false,true,,true,false,46,2,12,6,2,1,59,19,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,80fdcb719864636545166c80837dec57c1f31af8dd0e4e99b51c01a2b7481edd,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
50,irrelevant_negative_not_retained,8100000,5,reference,true,false,true,,true,false,72,2,20,10,6,3,89,19,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,077bb9cbcb9142d8ce62c80c108f7a06b6f56614370306507042ce78bfd5487f,useful_live=true;others_gone=true;fires=1/1
50,irrelevant_negative_not_retained,8100000,5,production,true,false,true,,true,false,72,2,20,10,6,3,89,19,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,ecc1437e073de0c071ebbf4e4f6a4b0de38776cfdcdc5face0a5580e21d470b1,useful_live=true;others_gone=true;fires=1/1
51,useful_positive_selection_control,8100000,5,reference,true,false,true,,true,false,21,2,4,2,2,1,27,17,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,bb539667d5cbf10e519172138a513f643bc9ab0b48d5a988b19d01c4600cf4ea,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
51,useful_positive_selection_control,8100000,5,production,true,false,true,,true,false,21,2,4,2,2,1,27,17,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,eb756b2817faa3cfe02a82a40d6f47dcc2b278c5ab703f471431086dacdf0be1,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
52,learned_negative_disconnected,8100000,5,reference,true,false,true,,false,true,128,2,20,10,18,9,172,31,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,984ebbf58f0b31d6af31208942e96b99c9bbb268c25e7ccff79058a7a09f676f,disconnected=true;ceiling=true
52,learned_negative_disconnected,8100000,5,production,true,false,true,,false,true,128,2,20,10,18,9,172,31,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,2eb9f1226184b3543999530d358c3acfa5af8eff3399f4f2c0cd76db3661509a,disconnected=true;ceiling=true
53,learned_negative_not_traversed,8100000,5,reference,true,false,true,,false,true,112,2,16,8,14,7,156,36,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,b4f0240887f3d034c6d4b96c780ddaa47d0317b58097f690f30c7a9692482cb9,contact_fires=0
53,learned_negative_not_traversed,8100000,5,production,true,false,true,,false,true,112,2,16,8,14,7,156,36,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,b5de492739714df02734070e26a61279741e8d9f04f21339e5b6496247c62604,contact_fires=0
54,fresh_recurrence_packing,8100000,5,reference,true,false,true,,true,false,46,2,12,6,2,1,59,19,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,25336a06067f72b55803720836e613e099546d24080ebc7d50610385cc5a3d8e,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
54,fresh_recurrence_packing,8100000,5,production,true,false,true,,true,false,46,2,12,6,2,1,59,19,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,5f758978b95d6c7c9ff9a81d94171cca6cb6d51c3c48151898d095c6aecaa811,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
55,learned_negative_stabilizes,8100000,6,reference,true,false,true,,true,false,46,2,12,6,2,1,59,20,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,16e8683ec529f0c294e92e3ae86f11ceccf06eda4c6cfb38ad89f80b54473cf4,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
55,learned_negative_stabilizes,8100000,6,production,true,false,true,,true,false,46,2,12,6,2,1,59,20,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,d8780362cc4347d6a09ad42d27480ad928ab2f8693ee2c77f5452a39f281ae1f,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
56,no_modulation_no_selection,8100000,6,reference,true,false,true,,false,true,91,0,8,4,8,4,141,57,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,9a78af5f4877967650db4cc8b2209e2cee451cc7c8f837ef31f64e0f249d5c7c,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
56,no_modulation_no_selection,8100000,6,production,true,false,true,,false,true,91,0,8,4,8,4,141,57,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,adeaafc4588f5166974857ef5bcaf7feed1f3740437e0fbee86d19bd75e8b365,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
57,candidate_identity_sign_order_permutation,8100000,6,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,20,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,7094da539cf5b9aafaee55d15baa71e70e2b5741d3f255967795c2646b3f656c,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
57,candidate_identity_sign_order_permutation,8100000,6,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,20,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,140fc3fbbbe3b6c38742bfc172a9e4dfeba82dbf9b32085ba8046c33b245a674,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
58,inhibitory_location_permutation,8100000,6,reference,true,false,true,,true,false,46,2,12,6,2,1,59,20,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,83d6584101a30c07afa94800345a336f789b5d0ae47643ac740d439dd4b9cfda,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
58,inhibitory_location_permutation,8100000,6,production,true,false,true,,true,false,46,2,12,6,2,1,59,20,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,e8093476e8e17644dab21f91be6e23e53b6460ee5d28049316e2fa62ee3b9524,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
59,irrelevant_negative_not_retained,8100000,6,reference,true,false,true,,true,false,72,2,20,10,6,3,89,20,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,332f5e321ccf917d80c645dbb45d7308d7f853fc31b9236856898b7e676432e7,useful_live=true;others_gone=true;fires=1/1
59,irrelevant_negative_not_retained,8100000,6,production,true,false,true,,true,false,72,2,20,10,6,3,89,20,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,bfec579be411a8c94c4eace0ecd6eda0dc8f1f0303c4afdf42b49c605d4b78ca,useful_live=true;others_gone=true;fires=1/1
60,useful_positive_selection_control,8100000,6,reference,true,false,true,,true,false,21,2,4,2,2,1,27,18,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,81ea3fa803200fcffd745358e2a91994df75377bfce7cd823b129da45bf3f762,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
60,useful_positive_selection_control,8100000,6,production,true,false,true,,true,false,21,2,4,2,2,1,27,18,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,da39221b1a82499e0d9be96f77ceba9aec8e0e6d78a34bfa13eb936c3461d036,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
61,learned_negative_disconnected,8100000,6,reference,true,false,true,,false,true,128,2,20,10,18,9,172,32,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,daf21fa8547b95c8bc6290cfac49c60f7c0608457c73e02b3a7fa48344ad682a,disconnected=true;ceiling=true
61,learned_negative_disconnected,8100000,6,production,true,false,true,,false,true,128,2,20,10,18,9,172,32,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,28a972fac91367e91451822659fc971506db58f69b4a6efb54ab0c5207a08c6f,disconnected=true;ceiling=true
62,learned_negative_not_traversed,8100000,6,reference,true,false,true,,false,true,112,2,16,8,14,7,156,37,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,1810b59955c098ef5b51f6b12233d6cc6fe91e31f65fe25b96e261d677936594,contact_fires=0
62,learned_negative_not_traversed,8100000,6,production,true,false,true,,false,true,112,2,16,8,14,7,156,37,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,6929f1c8045fb7eaafa4576792bdd9cde7e8f2778d923235e2b54e52cc6945e6,contact_fires=0
63,fresh_recurrence_packing,8100000,6,reference,true,false,true,,true,false,46,2,12,6,2,1,59,20,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,ee066fac9b3ac6096fcec2eb2bba58cd5cd0b4af55cb45b30f05b0c425d398df,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
63,fresh_recurrence_packing,8100000,6,production,true,false,true,,true,false,46,2,12,6,2,1,59,20,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,29953e3a4e0cd42f80dea290d6be47e2c767688025f433dee1e40c05a584201f,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
64,learned_negative_stabilizes,8100000,7,reference,true,false,true,,true,false,46,2,12,6,2,1,59,21,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,c566d63a40e55c637ffafaa2c67cd21210d4df44f7cd98d97cca83077be53d43,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
64,learned_negative_stabilizes,8100000,7,production,true,false,true,,true,false,46,2,12,6,2,1,59,21,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,5ceb20c42d2019803487f142ff21ebc60090035fdcf7baefb8067df33df5b571,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
65,no_modulation_no_selection,8100000,7,reference,true,false,true,,false,true,91,0,8,4,8,4,141,58,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,211b10cca107da59ed927d5fd388b6b8a797de42508400a7803b130675688708,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
65,no_modulation_no_selection,8100000,7,production,true,false,true,,false,true,91,0,8,4,8,4,141,58,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,a9c34bafd15aa4089b2ac619114ec7d86df95a898e1e4dbc7322aa8ae5ad1719,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
66,candidate_identity_sign_order_permutation,8100000,7,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,21,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,a8bdb2cdbda9b125cecc90b3e9bc5cd08a56136c5e5d12633cf950dcff30fb70,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
66,candidate_identity_sign_order_permutation,8100000,7,production,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,21,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,f4ec1c2e784b9e899da088415fbf431320b79d4d889b8a93f6507bd54befedd0,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
67,inhibitory_location_permutation,8100000,7,reference,true,false,true,,true,false,46,2,12,6,2,1,59,21,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,f1c78125425388933a009f89fe132e5ea391104a7879982a6fc666a0ed636764,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
67,inhibitory_location_permutation,8100000,7,production,true,false,true,,true,false,46,2,12,6,2,1,59,21,1d242cd1376ac4f45a1fb66a7c4b9c81422e81a4208fd75ed73edfffe6267bb4,3b6023d811af411391e2e8bbf6cc4a925d264a13222bc97ad1335b216c37b847,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
68,irrelevant_negative_not_retained,8100000,7,reference,true,false,true,,true,false,72,2,20,10,6,3,89,21,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,a249ae8a8626719a2fa3e744aaeda9bff7e76f13e578fb1c9b3bf6aef96d1771,useful_live=true;others_gone=true;fires=1/1
68,irrelevant_negative_not_retained,8100000,7,production,true,false,true,,true,false,72,2,20,10,6,3,89,21,48b54bbf79b1e4dd7d1fb8680dedfda859541e791af44ffb79221fb35db80de0,114e569569d48a23e4f11b695467997c7b0f7cef9d1bd17b6af48ca3d1454a03,useful_live=true;others_gone=true;fires=1/1
69,useful_positive_selection_control,8100000,7,reference,true,false,true,,true,false,21,2,4,2,2,1,27,19,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,79d8b1a265a6cd1c7423cbd99bc8780b8d50395cd3c485ab7827ee4f7d596beb,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
69,useful_positive_selection_control,8100000,7,production,true,false,true,,true,false,21,2,4,2,2,1,27,19,41c9b1ac115f3b565cb52d93da21930eb43c7a69856d133c47d45f04e29994dd,e58d2a869483073e079815ee085d55b50cd5714a02b47d54689e7466dfe721b3,selected_sign=1;live=true/false;contact_fires=1->2;positive_deliveries=1->2;anchors=[Some(500); Some(500)]
70,learned_negative_disconnected,8100000,7,reference,true,false,true,,false,true,128,2,20,10,18,9,172,33,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,2ee2287a6df861f75e5fd5c6ce10664eb34ee05512cb7c0d346cf44fc1485b18,disconnected=true;ceiling=true
70,learned_negative_disconnected,8100000,7,production,true,false,true,,false,true,128,2,20,10,18,9,172,33,d8da5105eda7cde116b53306531a5855a0a2f8ca0ae353c241ae9951b9d9a99e,4ae381289350dfbabe9387ac0971407e8fd44744acc0a2c2dbab7967dcd993a3,disconnected=true;ceiling=true
71,learned_negative_not_traversed,8100000,7,reference,true,false,true,,false,true,112,2,16,8,14,7,156,38,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,764a223cefec2f2e5d11c0e16a128d492854053a866c5a37023b38cfa9dcdeeb,contact_fires=0
71,learned_negative_not_traversed,8100000,7,production,true,false,true,,false,true,112,2,16,8,14,7,156,38,74bd0472946412bd3394e526e347422782c04e55194d12cc8cce30ec4969ca4e,f82265bec83e048134c16900087ec838fe91b8c7ce7f9f400a412f8e9cb8ac23,contact_fires=0
72,fresh_recurrence_packing,8100000,7,reference,true,false,true,,true,false,46,2,12,6,2,1,59,21,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,c4bae5ae62b576737845ce8247a96690c8962fa777cf03f45a75045d0501e627,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
72,fresh_recurrence_packing,8100000,7,production,true,false,true,,true,false,46,2,12,6,2,1,59,21,9425ac294d4c04c1b42e14de628140a5dfbfbc0ddc852788e179da042c5d466e,cf93c007cc8a3aacb866ec43c321464df734c04cf24886658a2fbcaa667b3415,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=true
73,learned_negative_stabilizes,8100000,8,reference,true,false,true,,true,false,46,2,12,6,2,1,59,22,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,130ba6c49b4bac23af74ca7c9f2e1072ad117b0463ca48595eac4c8ab8f43a3a,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
73,learned_negative_stabilizes,8100000,8,production,true,false,true,,true,false,46,2,12,6,2,1,59,22,8890a9c4c8cef68a755bef4eaf1e1f8735eeae463e71931a0a502a9d8f78f9e9,48845e2e54f39b555d731371d985c607ec046bfee54b99e8b72b90c284964096,selected=CellId(3)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact1;fresh=false
74,no_modulation_no_selection,8100000,8,reference,true,false,true,,false,true,91,0,8,4,8,4,141,59,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,a9e10d6919de9cd2c8710d51ed4f06afaaf5c5660ceda25be9b56f22c3292c1a,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
74,no_modulation_no_selection,8100000,8,production,true,false,true,,false,true,91,0,8,4,8,4,141,59,945bfde8693c89a70a5b6b54adc20dad156a253aa05d42ea584b0ca7ec9a6056,bdf11bb2dfd46604df59674e60efbaa01e73cab9ecb9eb7c769faf2c35caaede,candidates_gone=true;anchors=[Some(500); Some(500)];fires=11/10;ceiling=true
75,candidate_identity_sign_order_permutation,8100000,8,reference,true,false,false,learned_negative_traverses,true,false,47,2,12,6,2,1,61,22,b6bb366f1e8f80a788d9d0d90d40b89d3f1cdd74a58acb44530e951faeee3a71,10183b2db7171b697432498ea63779af3bb74ab9f0b526a38479c8650efc8a28,selected=CellId(4)/sign-1;r=[Some(4); Some(4)];unsupported_live=false;anchors=[Some(500); Some(500)];fires=a1/b1/contact2;fresh=false
